site,sum_squares,Beta_dispersion,Beta_avg_pairwise,gamma_sum_squares,gamma_dispersion,beta_agg_sum_squares,beta_agg_dispersion,Beta_agg_avg_pairwise,plot_sum_squares,plot_beta_dispersion,plot_avg_pairwise
NIWO,242.232421736437,0.04847556968910086,0.2401393538852831,242.232421736437,0.04847556968910086,1.3809966610185338,0.022274139693847318,0.16639846632645924,29.19862927010502,0.9124571646907819,0.19428624734245512
OAES_1,4.382689331250672,0.0019478619250002987,0.05049569698136248,4.382689331250672,0.0019478619250002987,0.017170908113397103,5.203305488908213e-4,0.028812687745143513,1.2427333383075443,0.03883541682211076,0.03300574700433742
OAES_2,14.28808443238213,0.006636360628138472,0.09053869792494143,14.28808443238213,0.006636360628138472,0.052782424097970515,0.0016494507530615786,0.04853628494702609,7.707204290228309,0.24085013406963465,0.07903501639389737
ONAQ,52.21930320928982,0.0020953094939928506,0.05237948148472933,52.21930320928982,0.0020953094939928506,0.47041523280622444,0.001710600846568089,0.048290785732602454,12.12257372793991,0.36735071902848215,0.07729481289132352
OSBS,619.118435582994,0.05120066453713149,0.27791587776673704,619.118435582994,0.05120066453713149,4.461647318419144,0.030146265664994214,0.21376523888402546,176.42325228758546,4.009619370172397,0.28734080927353717
RMNP_1,1012.3699461559013,0.05822568276044753,0.2950286810221632,1012.3699461559013,0.05822568276044753,9.599615822806339,0.04343717566880696,0.2502885079595992,3.7399115055111927,0.18699557527555963,0.15998834661554512
RMNP_2,218.93610891424424,0.012591942768404224,0.1305516311809281,218.93610891424424,0.012591942768404224,1.3514383593652342,0.006115105698485223,0.08867331360174459,8.165293449242062,0.40826467246210313,0.1615352346195229
SERC,66.85825407975875,0.018123679609584914,0.1167702888918619,66.85825407975875,0.018123679609584914,0.8473227952448914,0.011148984147959097,0.10556089543144626,6.048260206885271,0.20160867356284234,0.09420407769666789
SJER_1,25.636083377949888,0.0039361405462843375,0.07261703482241456,25.636083377949888,0.0039361405462843375,0.1374424191127326,0.0016559327603943687,0.04819883341495281,3.6531497979221723,0.11416093118506788,0.07602514146967622
SJER_2,9.567471139464365,0.0014689806754896921,0.04588753438653924,9.567471139464365,0.0014689806754896921,0.049610542233788815,5.977173763107086e-4,0.030446649364491693,4.9611979851598305,0.1550374370362447,0.05080742200116795
STER_1,38.94732239426518,0.03875355462115938,0.22904557692759223,38.94732239426518,0.03875355462115938,0.2909501554608316,0.02645001413280287,0.18984853402558458,12.445323246444248,1.2445323246444249,0.16481663347736256
STER_2,55.19673840957805,0.05492212777072443,0.26587951133575405,55.19673840957805,0.05492212777072443,0.42359891030078495,0.038508991845525906,0.23052699264496407,12.24277958162217,1.224277958162217,0.16960044313236533
TALL,205.7682174683386,0.011657595460219739,0.11051174586991803,205.7682174683386,0.011657595460219739,1.2384967043521375,0.005841965586566687,0.07707710649672367,6.588391830706025,0.19964823729412198,0.10272280240593826
TEAK_1,410.7611292892085,0.02268771771826614,0.177727361674296,410.7611292892085,0.02268771771826614,2.310376007161525,0.010598055078722591,0.12174807223506251,12.686511478974795,0.384439741787115,0.13775265586614877
TEAK_2,447.9019919236762,0.02509114290088377,0.18495729368803507,447.9019919236762,0.02509114290088377,2.621211056339428,0.012191679331811292,0.1269988588136398,17.86442048346305,0.5582631401082203,0.1728701872654129
UNDE,211.90011971917306,0.017483508227654543,0.11544086309817578,211.90011971917306,0.017483508227654543,1.3320094156449727,0.008705943893104397,0.09314904674928066,12.543769748127353,0.36893440435668684,0.09128792737123104
WOOD_1,70.87969727335417,0.01572658026921548,0.13923359655707973,70.87969727335417,0.01572658026921548,0.3246229245152491,0.005796837937772305,0.09409185811093976,17.128352278737086,0.535261008710534,0.13920012684560618
WOOD_2,2.9394353971657208,6.521933430587355e-4,0.03247555146824456,2.9394353971657208,6.521933430587355e-4,0.0301535375404589,5.384560275081947e-4,0.029320726531990943,2.472659369594137,0.07727060529981677,0.04087742578739624
WREF,43.01473480450636,0.0025134237936488466,0.05565767564995534,43.01473480450636,0.0025134237936488466,0.24586905498466388,0.001102551816074726,0.039731441218868575,1.3255554603488438,0.04142360813590137,0.06253177133912506
YELL,525.1250546715645,0.018109009403116234,0.1581090272836321,525.1250546715645,0.018109009403116234,3.258144224742075,0.008975603924909297,0.11114828272035907,11.6136933599636,0.3519301018170788,0.126111588003128
