site,sum_squares,Beta_dispersion,Beta_avg_pairwise,gamma_sum_squares,gamma_dispersion,beta_agg_sum_squares,beta_agg_dispersion,Beta_agg_avg_pairwise
JERC_1,96.76222650195378,0.02171504185411889,0.17943023059175242,96.76222650195378,0.02171504185411889,0.5448050789840782,0.009393191016966864,0.11981931811233693
JERC_2,102.52897973517359,0.02300919652943752,0.17376293527843858,102.52897973517359,0.02300919652943752,0.580365953808857,0.01000630954842857,0.11753180794143205
JORN_1,4.6734964894624875,3.0647888317020705e-4,0.021282656906634067,4.6734964894624875,3.0647888317020705e-4,0.03397132304625625,1.9412184597860713e-4,0.01747873543801102
JORN_2,3.2101952355224705,2.1051841009393866e-4,0.017893003527312257,3.2101952355224705,2.1051841009393866e-4,0.023495142622714578,1.342579578440833e-4,0.014666413204529334
KONA_1,52.10482558279807,0.0374585374427017,0.22903464144673652,52.10482558279807,0.0374585374427017,1.1297024182082558,0.02689767662400609,0.1976834077689509
KONA_2,11.40430267445932,0.008198635998892393,0.11329968219494305,11.40430267445932,0.008198635998892393,0.3478783933628946,0.008282818889592728,0.1149725065723579
KONZ,64.11397937126496,0.0050711049095361034,0.0765480653680678,64.11397937126496,0.0050711049095361034,0.31957653183676676,0.0021305102122451116,0.04887714535048961
LAJA,17.48683387617799,0.011377250407402726,0.12360386569811584,17.48683387617799,0.011377250407402726,0.2050225191795512,0.007069742040674179,0.10073254088783659
LENO_1,54.835340276585804,0.01961908417766934,0.12573992055427072,54.835340276585804,0.01961908417766934,1.0896405360229071,0.021365500706331513,0.1360305118019732
LENO_2,7.61968557820999,0.0027261844644758462,0.051885382914642786,7.61968557820999,0.0027261844644758462,0.05276173965411567,0.0010345439147865817,0.03754859396055595
MLBS,35.42068345879788,0.008411466031535949,0.07504511598482255,35.42068345879788,0.008411466031535949,0.2731706169733542,0.003794036346852142,0.05356734948991349
MOAB_1,18.717560713850258,0.0010274776699703714,0.03954540787043842,18.717560713850258,0.0010274776699703714,0.12398661897679297,5.584982836792477e-4,0.029759984876831694
MOAB_2,20.662124135779095,0.001134222107689471,0.04077564925477384,20.662124135779095,0.001134222107689471,0.1496290838726948,6.740048823094361e-4,0.03108177999204501
NIWO_1,73.99007989466624,0.014806900119004651,0.14130545377817377,73.99007989466624,0.014806900119004651,0.5903391686569475,0.009521599494466895,0.11161767233369498
NIWO_2,239.31453195495314,0.04789164137581612,0.26500023569601633,239.31453195495314,0.04789164137581612,2.1731172956297162,0.03505027896176962,0.22867114566682167
OEAS_1,15.396194960484914,0.006842753315771073,0.0900752349160418,15.396194960484914,0.006842753315771073,0.06995969521719099,0.0021199907641573025,0.05391025015247405
OEAS_2,9.058370620094395,0.004025942497819731,0.06938413163901128,9.058370620094395,0.004025942497819731,0.04556904384847944,0.0013808801166205892,0.04290494384824956
ONAQ_1,202.4189521877164,0.008122099036502545,0.09380704592292571,202.4189521877164,0.008122099036502545,2.125517445936013,0.007729154348858229,0.09239769431637475
ONAQ_2,64.7620713488143,0.0025985904561758406,0.056340377460932844,64.7620713488143,0.0025985904561758406,0.6732940576050986,0.002448342027654904,0.055226175453366756
ORNL,858.9524336178516,0.04141525716575948,0.1724147126956178,858.9524336178516,0.04141525716575948,11.32423598759951,0.035836189834175664,0.17708931163767608
RMNP_1,437.5829972097256,0.025122459364434815,0.18427932118542145,437.5829972097256,0.025122459364434815,2.9828518937932356,0.013082683744707174,0.1303603823270161
RMNP_2,470.96854479697396,0.027039186175047306,0.19310831850497792,470.96854479697396,0.027039186175047306,3.2633778454349014,0.014313060725591673,0.13851832074982054
SCBI_1,31.10751813848663,0.007980379204332127,0.07946113411723342,31.10751813848663,0.007980379204332127,0.28216747134036996,0.004408866739693281,0.06951101058905172
SCBI_2,61.35032859211513,0.015738924728608293,0.12036603047723539,61.35032859211513,0.015738924728608293,0.4604361949832278,0.007194315546612934,0.08740700757117481
