"Spectral_Metric","Plant_Metric","Correlation","p_val","Structural_Group","R_squared","Significance"
"beta_agg_dispersion","FD_Beta_Dispersion_m1_TopDown",0.0586550416842753,0.912118336284384,"Open / Sparse Cover",0.00344041391498408,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Dispersion_m1_TopDown",0.0574244854286998,0.913957952530994,"Open / Sparse Cover",0.00329757152675096,"ns"
"sum_squares","FD_Beta_Turnover_m1_TopDown",-0.145159357642872,0.783790307302759,"Open / Sparse Cover",0.0210712391112913,"ns"
"Beta_dispersion","FD_Beta_Turnover_m1_TopDown",0.0258572238593181,0.961222808229577,"Open / Sparse Cover",0.000668596025710891,"ns"
"Beta_avg_pairwise","FD_Beta_Turnover_m1_TopDown",0.0803205558294305,0.879778255939011,"Open / Sparse Cover",0.00645139168874866,"ns"
"beta_agg_sum_squares","FD_Beta_Turnover_m1_TopDown",-0.0769519148118136,0.88479996690366,"Open / Sparse Cover",0.00592159719320462,"ns"
"beta_agg_dispersion","FD_Beta_Turnover_m1_TopDown",0.15813758457937,0.764770935610702,"Open / Sparse Cover",0.0250074956565974,"ns"
"Beta_agg_avg_pairwise","FD_Beta_Turnover_m1_TopDown",0.154398408488922,0.770242728948295,"Open / Sparse Cover",0.0238388685439122,"ns"
"sum_squares","FD_FDis_m2_TopDown",-0.0121721377152492,0.981742695144788,"Open / Sparse Cover",0.000148160936558991,"ns"
"Beta_dispersion","FD_FDis_m2_TopDown",0.219397421879823,0.676184239722471,"Open / Sparse Cover",0.0481352287275131,"ns"
"Beta_avg_pairwise","FD_FDis_m2_TopDown",0.282264970470736,0.587847065269325,"Open / Sparse Cover",0.0796735135548455,"ns"
"beta_agg_sum_squares","FD_FDis_m2_TopDown",0.41451084649085,0.413844199956829,"Open / Sparse Cover",0.171819241858561,"ns"
"beta_agg_dispersion","FD_FDis_m2_TopDown",0.673262082908058,0.142695610911091,"Open / Sparse Cover",0.453281832281697,"ns"
"Beta_agg_avg_pairwise","FD_FDis_m2_TopDown",0.606265686239773,0.202020397143205,"Open / Sparse Cover",0.367558082311782,"ns"
"sum_squares","FD_RaoQ_m2_TopDown",0.391407854969548,0.442870080554739,"Open / Sparse Cover",0.153200108931863,"ns"
