"term","estimate","std.error","statistic","p.value","Spectral_Metric","Plant_Metric","Model_R2","Model_Adj_R2","Model_P_Value"
"gamma_dispersion:scaled_tree_cover",-4642.35423683867,2374.02168530214,-1.95548097373332,0.0602231933497932,"gamma_dispersion","PD_Faith_TopDown",0.608326544162564,0.554302619219469,1.22897773819958e-05
"(Intercept)",0.407131485044206,0.0201538652445597,20.2011614200956,1.25156327936614e-18,"gamma_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"gamma_dispersion",2.28164845100067,1.03216184594183,2.21055298640564,0.0351108906367062,"gamma_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"scaled_tree_cover",-0.0324379290134109,0.0267320289538268,-1.21344807270109,0.234749643238724,"gamma_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"scaled_canopy_height",-0.0101649344839761,0.0224887474238315,-0.452000918166044,0.654631100373146,"gamma_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"gamma_dispersion:scaled_tree_cover",0.612887073942675,1.10865563471503,0.552820059495041,0.584623187043677,"gamma_dispersion","PD_Beta_Dispersion_TopDown",0.276783462112215,0.177029456886314,0.0456583238739434
"(Intercept)",678.535500687369,30.2587208956892,22.4244608034319,7.22970253503544e-20,"beta_agg_sum_squares","PD_Faith_TopDown",0.637186697412554,0.587143483262561,4.22350252978224e-06
"beta_agg_sum_squares",27.7218167465965,10.8337980661401,2.55882716083088,0.0159847291764314,"beta_agg_sum_squares","PD_Faith_TopDown",0.637186697412554,0.587143483262561,4.22350252978224e-06
"scaled_tree_cover",145.4747047866,45.3228972576697,3.20973974720872,0.00323685693544042,"beta_agg_sum_squares","PD_Faith_TopDown",0.637186697412554,0.587143483262561,4.22350252978224e-06
"scaled_canopy_height",20.7936733222121,43.578064834043,0.477159171739268,0.636825201570978,"beta_agg_sum_squares","PD_Faith_TopDown",0.637186697412554,0.587143483262561,4.22350252978224e-06
"beta_agg_sum_squares:scaled_tree_cover",5.68337199673064,17.5941296876772,0.32302660589749,0.748992794845296,"beta_agg_sum_squares","PD_Faith_TopDown",0.637186697412554,0.587143483262561,4.22350252978224e-06
"(Intercept)",725.078159038384,37.8994255430707,19.1316398243127,5.44818066491527e-18,"beta_agg_dispersion","PD_Faith_TopDown",0.609776164856265,0.55595218759506,1.16713883364283e-05
"beta_agg_dispersion",646.004521422743,2688.58324766815,0.240276927256402,0.811806018229118,"beta_agg_dispersion","PD_Faith_TopDown",0.609776164856265,0.55595218759506,1.16713883364283e-05
"scaled_tree_cover",188.344956858016,54.2848690953377,3.46956638188139,0.00165123230499325,"beta_agg_dispersion","PD_Faith_TopDown",0.609776164856265,0.55595218759506,1.16713883364283e-05
"scaled_canopy_height",33.1219138778119,46.6537450780826,0.709951876797394,0.483404089228466,"beta_agg_dispersion","PD_Faith_TopDown",0.609776164856265,0.55595218759506,1.16713883364283e-05
"beta_agg_dispersion:scaled_tree_cover",-5822.20287317204,2909.38716073525,-2.00117844463872,0.0548095764195658,"beta_agg_dispersion","PD_Faith_TopDown",0.609776164856265,0.55595218759506,1.16713883364283e-05
"(Intercept)",749.311862502517,54.6054305460469,13.7222956583164,3.26087044452901e-14,"Beta_agg_avg_pairwise","PD_Faith_TopDown",0.618221873411699,0.565562821468486,8.60405743115601e-06
"Beta_agg_avg_pairwise",-214.147092460803,503.16375965366,-0.425601185205004,0.673540445245161,"Beta_agg_avg_pairwise","PD_Faith_TopDown",0.618221873411699,0.565562821468486,8.60405743115601e-06
"scaled_tree_cover",229.781557160077,66.2239804475073,3.46976360537879,0.0016503787305491,"Beta_agg_avg_pairwise","PD_Faith_TopDown",0.618221873411699,0.565562821468486,8.60405743115601e-06
"scaled_canopy_height",39.0960464673131,46.0025561073854,0.849866828618172,0.402361193810554,"Beta_agg_avg_pairwise","PD_Faith_TopDown",0.618221873411699,0.565562821468486,8.60405743115601e-06
"Beta_agg_avg_pairwise:scaled_tree_cover",-1171.36740017022,537.118865246933,-2.1808345898104,0.0374520572889414,"Beta_agg_avg_pairwise","PD_Faith_TopDown",0.618221873411699,0.565562821468486,8.60405743115601e-06
"(Intercept)",0.388655852163594,0.025553738071204,15.2093541493079,2.34805598392235e-15,"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.29210558865494,0.194464980193552,0.0349545529345616
"Beta_agg_avg_pairwise",0.571301356568057,0.235465864704965,2.42625977775542,0.0217042197175231,"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.29210558865494,0.194464980193552,0.0349545529345616
"scaled_tree_cover",-0.0362043555324699,0.030990878260013,-1.16822618670939,0.252230137372421,"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.29210558865494,0.194464980193552,0.0349545529345616
"scaled_canopy_height",-0.00702535217538813,0.0215278454472161,-0.326337913964196,0.746512184678599,"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.29210558865494,0.194464980193552,0.0349545529345616
"Beta_agg_avg_pairwise:scaled_tree_cover",0.123701300306949,0.251355857070814,0.492136136187583,0.626328156104634,"Beta_agg_avg_pairwise","PD_Beta_Dispersion_TopDown",0.29210558865494,0.194464980193552,0.0349545529345616
