"taxonID","scientificName","LMA_gm2","N_pct","C_pct","d13C","d15N","chlorophyll_mgg","carotenoids_mgg","lignin_pct","cellulose_pct","EWT_g_cm2","n_sites","n_samples"
"COMI","Coccoloba microstachya Willd.",79.1,1.63,49.12,-27,1.6,0.895652173913044,0.184782608695652,19.78,27.55,0.000166009867502405,1,1
"CONU4","Cornus nuttallii Audubon ex Torr. & A. Gray",53.2,1.77333333333333,42.83,-30.9,-2.8,5.01933473019033,0.960585802274374,5.94333333333333,17.87,8.35842089081479e-05,1,4
"CRDI8","Croton discolor Willd.",112,1.64,46.64,-28,5.6,2.02200220022002,0.556655665566557,4.48,26.02,0.000210591029087358,1,1
"CRLU2","Croton lucidus L.",67.1,2.36,48.51,-28.1,3.6,2.78625134264232,0.616541353383459,10.14,9.85,0.000131411035488576,1,1
"CRRH","Crossopetalum rhacoma Crantz",182.5,1.6,52.15,-27,0.9,1.05522914218566,0.195064629847239,25.71,13.35,0.000293236341707027,1,1
"DAFRF","Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz",122.933333333333,2.14666666666667,48.9633333333333,-28.0333333333333,-2.96666666666667,6.52457327871019,1.62597629890923,7.41,12.6766666666667,5.45175820699444e-05,1,3
"DILI","Dicranopteris linearis (Burm.) Underw.",149.9,0.63,53.03,-26.3,-9.8,1.039759939985,0.2768192048012,16.82,20.04,0.000172873145625189,1,1
"DIVI5","Diospyros virginiana L.",93.9142857142857,1.65571428571429,50.5742857142857,-29.5142857142857,0.442857142857143,2.42005383476849,0.866678540151917,25.2371428571429,16.88,0.000123726229578608,4,8
"DOVI","Dodonaea viscosa (L.) Jacq.",106.4,1.43,55.12,-27.8,-9.5,1.04865771812081,0.422818791946309,6.98,9.79,0.000131968641114983,1,1
"ELUM","Elaeagnus umbellata Thunb.",56.6,3.865,50.05,-28,-0.8,2.10508849557522,0.50273739289226,13.645,14.955,0.000109888841902063,2,2
"ENFR","Encelia frutescens (A. Gray) A. Gray",62.1,4.4,44.07,-30.3,3.8,2.32851511169514,0.557161629434954,NA,NA,0.000188385516879482,1,1
"EPTR","Ephedra trifurca Torr. ex S. Watson",815.93,1.2445,47.263,-24.08,1.935,0.685969461639256,0.253946040057703,17.311,31.44,0.000566750280180912,2,10
"EPVI","Ephedra viridis Coville",644.8,1.835,46.5125,-24.825,2.425,0.729805206880968,0.235709823849978,15.8,21.63,0.000574996683474844,1,4
"ERAR17","Erythroxylum areolatum L.",63.4,2.71,49.93,-25.9,5.2,1.88318227593152,0.336354481369587,7.58,14.36,0.000123372537202315,1,1
"ERFR4","Erithalis fruticosa L.",124.4,1.29,53.05,-26.8,1.6,0.712280701754386,0.221052631578947,10.26,8.15,0.000327727120773727,1,1
"ERRO3","Erythroxylum rotundifolium Lunan",96.9,1.88,51.94,-27.7,1.2,0.986547085201794,0.242152466367713,10.43,9.22,0.000166461808604039,1,1
"EUAX","Eugenia axillaris (Sw.) Willd.",95.1,1.6,49.88,-27.7,0.2,0.730659025787966,0.220630372492837,17.33,10.97,0.0002075330537725,1,1
"EUFO3","Eugenia foetida Pers.",109.8,1.58,54.4,-27.2,3.7,1.48195329087049,0.329087048832272,17.51,8.53,0.000147398287967683,1,1
"EURH","Eugenia rhombea (Berg) Krug & Urb.",125.9,1.215,47.015,-28.45,5.75,0.99453139718563,0.252759300320276,16.465,22.81,0.000176350553246124,1,2
"EUXE","Eugenia xerophytica Britton",148.9,1.23,50.73,-26.1,3.9,1.09518348623853,0.268348623853211,20.32,12.46,0.000122944868423176,1,1
"EXCA","Exostema caribaeum (Jacq.) Schult.",95.9,2.31,51.73,-27,3.5,2.735,0.6,6.14,6.99,0.000138170569185408,1,1
"EYOR","Eysenhardtia orthocarpa (A. Gray) S. Watson",71.9,3.13,52.46,-24,2.4,2.49866310160428,0.529411764705882,10.08,14.95,5.11549996489363e-05,1,1
"FAGR","Fagus grandifolia Ehrh.",68.6333333333333,1.80138888888889,49.8525,-29.2083333333333,-2.56944444444444,3.43801786307484,0.675576107454147,21.2433333333333,21.0133333333333,6.4910627848616e-05,4,18
"FOSP2","Fouquieria splendens Engelm.",79.05,2.445,48.6675,-26.35,2.725,1.49338503555599,0.303378113309279,3.7725,7.825,0.000171077848773781,1,4
"FRAM2","Fraxinus americana L.",81.8333333333333,2.18379310344828,48.7824137931035,-26.3862068965517,-1.85344827586207,3.23353411439227,0.700488305653988,15.2281034482759,20.3368965517241,0.000104563348488901,9,30
"FRCAC7","Frangula californica (Eschsch.) A. Gray ssp. cuspidata (Greene) Kartesz & Gandhi",176.4,2.08,45.61,-28.7,-1.7,2.1314606741573,0.7,6.09,8.99,0.000230219634824028,1,1
"FRNI","Fraxinus nigra Marshall",72.3,2.81,45.3085714285714,-25.7,-0.271428571428571,3.57808851422457,0.842765132510891,12.9685714285714,11.6514285714286,0.000145719083587301,2,7
"FRPE","Fraxinus pennsylvanica Marshall",76.5736842105263,2.33285714285714,49.4447619047619,-27.6452380952381,2.52857142857143,5.0009431266832,1.02655761598147,21.297619047619,18.1571428571429,0.000128394745461628,5,21
"FRPU7","Frangula purshiana (DC.) A. Gray",70.95,2.78,47.815,-29.35,-5,6.73317058165182,1.61280196872812,4.2,9.68,0.000130639055373079,1,3
"FRUH","Fraxinus uhdei (Wenzig) Lingelsh.",69.9,3.53,55.62,-25.1,-7.3,1.58877086494689,0.54855842185129,16.79,12.75,0.000107424812030075,1,1
"GAFR2","Gaylussacia frondosa (L.) Torr. & A. Gray ex Torr.",73.6,1.2,52.58,-33.1,-0.7,1.15585672797677,0.329138431752178,28.58,30.35,0.000106761565836299,1,1
"GANA","Gaylussacia nana (A. Gray) Small",64.7,1.03,51.82,-30.8,-1.6,1.04557179707653,0.302665520206363,11.57,15.57,8.10720516722967e-05,1,1
"GLTR","Gleditsia triacanthos L.",93.2,2.3825,49.1675,-28.075,-0.1,1.57121708714333,0.393787181888289,20.505,13.26,0.000117894571628637,1,2
"GOLA","Gordonia lasianthus (L.) Ellis",144.6,1.245,53.12,-27.9,-3.15,1.8042337537038,0.523303695931446,16.855,17.39,0.000193410900600517,2,3
"GUEL","Guettarda elliptica Sw.",89.1,1.725,49.88,-27.55,6.5,1.61256544502618,0.337696335078534,18.16,19.89,0.000102717340554674,1,1
"GUKR","Guettarda krugii Urb.",136,1.69,49.33,-24.9,6.9,3.6617050067659,0.746955345060893,15.33,32.27,0.000149214482033185,1,1
"GUOB","Guapira obtusata (Jacq.) Little",92.6,3.71,47.19,-27.6,2.6,1.23739956172389,0.359386413440468,16.31,11.48,0.000247210840612623,1,1
"GUOF","Guaiacum officinale L.",117.366666666667,1.97,51.2833333333333,-27.8333333333333,9.13333333333333,3.07926289492809,0.697563077696797,12.8216666666667,9.01,0.000100933812843143,1,3
"GUSA","Guaiacum sanctum L.",135.1,2.5875,49.7775,-28.15,8.325,2.45866456361725,0.577583596214511,11.77,16.005,0.000158677912639336,1,2
"GUSA2","Gutierrezia sarothrae (Pursh) Britton & Rusby",143.25,2.45,54.44,-24.95,2,1.22401577757055,0.255925967608819,7.665,11.415,0.000166086420793019,2,2
"GYDI","Gymnocladus dioicus (L.) K. Koch",58.4,4.385,48.2,-24.85,1.5,2.51957973644721,0.435309561815586,6.515,12.88,0.000142399210626328,1,2
"GYLU","Gymnanthes lucida Sw.",135.54,1.708,47.364,-26.94,2.72,1.78106623508566,0.419209362796863,3.132,14.616,0.000191541674290304,1,5
"HATE3","Halesia tetraptera Ellis",36.75,2.06,47.885,-30.15,-2.025,2.65612630076986,0.297201269489924,8.3325,11.3525,7.7297049399189e-05,1,4
"HODI","Holodiscus discolor (Pursh) Maxim.",48.9,2.32,48.88,-29.5,-3.3,8.2339514978602,1.57489300998573,21.26,14.77,5.99802645581131e-05,1,1
"HYFA","Hypericum fasciculatum Lam.",132.4,1.04,55.23,-29.6,-5.4,0.5288926843154,0.182749786507259,23.92,12.97,0.000127920733510796,1,1
"ILAN","Ilex anomala Hook. & Arn.",206.2,0.98,52.82,-31,-1.3,0.773316062176166,0.167098445595855,12.4,18.34,0.000384872220617961,1,1
"ILCO","Ilex coriacea (Pursh) Chapm.",105.9,1.26,52.86,-30.3,-3.3,1.22565864833906,0.27262313860252,23.64,13.93,0.000130050899739898,1,2
"ILGL","Ilex glabra (L.) A. Gray",138.875,1.01375,53.745625,-27.8125,-3.2625,1.01873399888127,0.345666093795001,15.004375,14.398125,0.000162831020640457,2,8
"ISTE2","Isocoma tenuisecta Greene",123.35,2.785,50.32,-27.2,3.45,2.06715876879845,0.317402301150984,9.62,8.89,0.000219465738324014,1,2
"JABE","Jacquinia berteroi Spreng.",285.5,0.81,52.42,-25.8,2.1,0.370221327967807,0.127162977867203,20.89,13.16,0.000232286782341883,1,1
"JAFL","Jasminum fluminense Vell.",87.3,2.47,46.94,-28.5,5.8,6.24657534246575,1.43561643835616,12.05,11.46,0.000125282033012706,1,1
"JUCO6","Juniperus communis L.",205.916666666667,0.985,52.4583333333333,-28.4666666666667,-2.76666666666667,0.949849816222231,0.197648292512355,10.3533333333333,17.6266666666667,0.000183608742242775,1,6
"JUNI","Juglans nigra L.",67.6807692307692,2.84519230769231,48.2780769230769,-28.3096153846154,-1.30961538461538,3.24995526720945,0.794366467171537,9.14269230769231,13.0023076923077,0.000141461365717412,5,26
"JUOS","Juniperus osteosperma (Torr.) Little",607.2875,0.76125,52.878125,-24.53125,-3.15,0.30056476892503,0.0848268573899875,13.4025,11.46375,0.000372171436924804,2,8
"JUVI","Juniperus virginiana L.",370.180952380952,1.14738095238095,50.3766666666667,-27.2142857142857,-2.92619047619048,1.24781307295689,0.24824425109101,16.1085714285714,13.9452380952381,0.000358248711735618,5,21
"JUVIV","Juniperus virginiana L. var. virginiana",290.32,1.386,53.072,-26.12,-1.02,1.2643774809491,0.287147252737757,13.668,15.678,0.000357272761224198,1,5
"KRFE","Krugiodendron ferreum (Vahl) Urb.",107.2,2.33,51.25,-27.1,3.2,1.1303317535545,0.329383886255924,23.85,9.38,0.000130606239673906,1,1
"KRLA2","Krascheninnikovia lanata (Pursh) A. Meeuse & Smit",100.18,3.055,42.338,-27.49,5.36,1.23964811878256,0.325051987239283,3.342,21.762,0.000224720405465818,1,5
"LAEX","Lantana exarata Urb. & Ekman",118.9,1.5,45.57,-29,1,1.11359404096834,0.301675977653631,12.23,21.47,0.000163799320078294,1,1
"LALA","Larix laricina (Du Roi) K. Koch",93.9375,1.9525,50.8175,-29.175,-3.4,1.5278426438155,0.339729089896528,13.36125,13.2075,0.000145590470770654,3,8
"LATR2","Larrea tridentata (DC.) Coville",110.61,2.93818181818182,52.1663636363636,-25.6818181818182,4.93636363636364,2.35898222293865,0.607748727965634,5.97909090909091,8.21,0.00010888642929228,1,11
"LELE10","Leucaena leucocephala (Lam.) de Wit",78.4,4.29,49.59,-26.1,4.9,7.61290322580645,1.72903225806452,7.1,9.56,9.0330562890578e-05,1,1
"LIST2","Liquidambar styraciflua L.",83.7276595744681,1.6863829787234,49.6885106382979,-29.2702127659574,-1.55,2.03141990166991,0.372128972854939,18.2155319148936,16.3821276595745,0.000156141314063628,7,47
