siteID,FD.u.qDT_unscaled,FD.u.qDTM_unscaled,FD.u.qEt_unscaled,FD.u.M_unscaled,FD.u.M.prime_unscaled,FD.u.nsp_unscaled,FD.nsp_unscaled,FD.St_unscaled,FD.M.beta_unscaled,FD.M.beta.prime_unscaled,FD.qDT.beta_unscaled,FD.qDTM.beta_unscaled,FD.Et.beta_unscaled,PD.u.qDT_unscaled,PD.u.qDTM_unscaled,PD.u.qEt_unscaled,PD.u.M_unscaled,PD.u.M.prime_unscaled,PD.u.nsp_unscaled,PD.nsp_unscaled,PD.St_unscaled,PD.M.beta_unscaled,PD.M.beta.prime_unscaled,PD.qDT.beta_unscaled,PD.qDTM.beta_unscaled,PD.Et.beta_unscaled,FD.u.qDT_scaled,FD.u.qDTM_scaled,FD.u.qEt_scaled,FD.u.M_scaled,FD.u.M.prime_scaled,FD.u.nsp_scaled,FD.nsp_scaled,FD.St_scaled,FD.M.beta_scaled,FD.M.beta.prime_scaled,FD.qDT.beta_scaled,FD.qDTM.beta_scaled,FD.Et.beta_scaled,PD.u.qDT_scaled,PD.u.qDTM_scaled,PD.u.qEt_scaled,PD.u.M_scaled,PD.u.M.prime_scaled,PD.u.nsp_scaled,PD.nsp_scaled,PD.St_scaled,PD.M.beta_scaled,PD.M.beta.prime_scaled,PD.qDT.beta_scaled,PD.qDTM.beta_scaled,PD.Et.beta_scaled
ONAQ,2.0882,1.3721,0.9281,0.1782,0.3207,2.25,45,45,0.1525,0.1606,15.4504,3.3567,0.7725,2.6807,1.6713,0.5892,0.2504,0.321,4.55,91,91,0.1365,0.1437,14.95,3.0402,0.7475,2.0594,1.229,0.9505,0.1112,0.2065,2.1667,39,39,0.271,0.287,13.8143,4.7443,0.7675,2.7694,1.3895,0.6516,0.1406,0.1839,4.25,85,85,0.3673,0.3866,13.5778,5.9871,0.6789
ORNL,5.1758,2.0471,0.5059,0.2023,0.2242,10.2308,266,266,0.0774,0.0805,20.508,2.5882,0.7888,6.7226,3.1335,0.4938,0.3174,0.3425,13.6154,354,354,0.0697,0.0725,21.6405,2.5087,0.8323,4.2077,1.7586,0.5372,0.1803,0.2067,7.8333,188,188,0.0998,0.1042,18.7694,2.8737,0.7821,4.9084,2.5026,0.4871,0.3061,0.3399,10.0769,262,262,0.1301,0.1353,19.9458,3.5956,0.7671
OSBS,3.6717,2.0249,0.6269,0.2791,0.3366,5.8571,123,123,0.1207,0.1268,18.0426,3.178,0.8592,3.2196,1.932,0.511,0.2895,0.3441,6.3,189,189,0.1027,0.1062,25.2081,3.5878,0.8403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4093,1.6639,0.5126,0.2755,0.35,4.7,141,141,0.2177,0.2252,22.9125,5.987,0.7638
PUUM,3.4698,1.8457,0.7229,0.2437,0.3079,4.8,96,96,0.0967,0.1018,15.7837,2.5265,0.7892,5.2789,2.6639,0.5738,0.3152,0.3536,9.2,184,184,0.0742,0.0781,17.5782,2.3044,0.8789,2.8623,1.4853,0.609,0.1696,0.2154,4.7,94,94,0.0768,0.0809,11.4167,1.877,0.5708,3.8247,1.5475,0.45,0.1432,0.1622,8.5,170,170,0.034,0.0358,12.864,1.4373,0.6432
RMNP,3.4099,1.7973,0.7663,0.2338,0.3016,4.45,89,89,0.0939,0.0989,16.6489,2.5638,0.8324,3.1334,1.8937,0.5803,0.2852,0.35,5.4,108,108,0.1916,0.2016,15.0083,3.875,0.7504,3.0296,1.4533,0.7389,0.1496,0.1979,4.1,82,82,0.0702,0.0739,17.4193,2.2235,0.871,2.9378,1.568,0.5876,0.1933,0.2417,5,100,100,0.1378,0.145,13.5614,2.8687,0.6781
SCBI,5.2556,1.8664,0.5905,0.1649,0.1857,8.9,178,178,0.0665,0.07,17.4558,2.1613,0.8728,5.2461,2.0295,0.4968,0.1962,0.2168,10.56,264,264,0.1008,0.105,22.0676,3.2237,0.8827,4.2284,1.6041,0.5955,0.1429,0.1663,7.1,142,142,0.0688,0.0724,18.3501,2.2621000000000002,0.9175,4.6111,1.9186,0.4969,0.1992,0.2233,9.28,232,232,0.0932,0.0971,23.0871,3.1522,0.9235
SERC,4.85,2.1827,0.6246,0.2438,0.2799,7.7647,132,132,0.0729,0.0775,14.3755,2.0482,0.8456,5.9015,2.3692,0.5269,0.232,0.2548,11.2,224,224,0.0654,0.0689,18.0303,2.1799,0.9015,3.837,1.5847,0.6395,0.1524,0.1829,6,102,102,0.05,0.0531,14.579,1.7284,0.8576,4.0915,1.8122,0.4703,0.1985,0.2243,8.7,174,174,0.0778,0.0819,18.0456,2.4045,0.9023
SJER,2.5584,1.7381,0.8224,0.2885,0.4251,3.1111,28,28,0.1532,0.1724,8.3383,2.2778,0.9265,3.8549,1.9978,0.7009,0.2588,0.3164,5.5,110,110,0.1285,0.1353,18.7028,3.4035,0.9351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2427,1.6677,0.6118,0.2059,0.2538,5.3,106,106,0.1826,0.1922,18.6157,4.3997,0.9308
SOAP,3.5285,2.0702,0.7315,0.3033,0.3826,4.8235,82,82,0.1323,0.1406,13.9858,2.8505,0.8227,3.3941,2.5713,0.6171,0.4629,0.5658,5.5,99,99,0.13,0.1376,16.2162,3.1081,0.9009,3.0602,1.5541,0.6528,0.1811,0.2302,4.6875,75,75,0.135,0.144,13.6099,2.8375,0.8506,2.6747,1.8362,0.5177,0.3126,0.3877,5.1667,93,93,0.2675,0.2832,14.0889,4.7684,0.7827
SRER,3.1251,1.6032,0.7912,0.193,0.2584,3.95,79,79,0.0884,0.093,16.6096,2.4677,0.8305,4.2763,2.1833,0.6842,0.2767,0.3294,6.25,125,125,0.0936,0.0985,17.971800000000002,2.682,0.8986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4593,1.5747,0.6123,0.1661,0.2019,5.65,113,113,0.0447,0.0471,15.74,1.7039,0.787
STEI,4.6551,1.9345,0.6421,0.2007,0.2329,7.25,145,145,0.0813,0.0856,13.9538,2.1351,0.6977,5.4208,2.709,0.5868,0.3153,0.3535,9.2381,194,194,0.0951,0.0999,14.9192,2.4192,0.7104,3.2208,1.5898,0.6059,0.1831,0.2256,5.3158,101,101,0.0771,0.0814,14.604,2.1264,0.7686,3.4507,1.8786,0.486,0.2546,0.2964,7.1,142,142,0.1221,0.1285,15.3494,2.8737,0.7675
TALL,7.0733,2.9371,0.5757,0.2739,0.2981,12.2857,258,258,0.0433,0.0455,18.724,1.8108,0.8916,8.9609,4.2209,0.5142,0.3594,0.3813,17.4286,366,366,0.0561,0.0589,19.0951,2.0719,0.9093,4.3989,2.18,0.5219,0.2682,0.3044,8.4286,177,177,0.1474,0.1548,17.2081,3.5365,0.8194,5.0746,2.6832,0.4246,0.3317,0.362,11.9524,251,251,0.1537,0.1614,17.2624,3.6529,0.822
TEAK,2.9183,1.7418,0.7483,0.2542,0.3419,3.9,78,78,0.1192,0.1255,17.043,3.0324,0.8522,3.463,2.3179,0.6857,0.3806,0.4745,5.05,101,101,0.2022,0.2128,16.7016,4.3767,0.8351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2845,1.6642,0.6843,0.2022,0.2554,4.8,96,96,0.1387,0.146,13.3569,2.8531,0.6678
TREE,3.7389,1.8559,0.6581,0.2289,0.2778,5.6818,125,125,0.1312,0.1374,19.5624,3.566,0.8892,4.1012,2.4941,0.5752,0.3643,0.4237,7.1304,164,164,0.1571,0.1643,19.8602,4.1208,0.8635,2.9426,1.5993,0.6347,0.2037,0.2597,4.6364,102,102,0.1548,0.1622,20.0528,4.105,0.9115,3.1756,1.8056,0.518,0.2537,0.3031,6.1304,141,141,0.2349,0.2456,18.4872,5.3428,0.8038
UKFS,5.3678,2.1062,0.6861,0.2061,0.2363,7.8235,133,133,0.0436,0.0463,14.7237,1.6416,0.8661,7.01,2.8022,0.5891,0.2571,0.2807,11.9,238,238,0.0519,0.0546,18.5973,1.965,0.9299,4.2753,1.7746,0.6857,0.1812,0.2158,6.2353,106,106,0.0559,0.0594,14.4334,1.8066,0.849,4.4583,1.8791,0.4954,0.1972,0.2218,9,180,180,0.0755,0.0795,18.3907,2.3893,0.9195
UNDE,4.4994,2.5438,0.5744,0.3431,0.3933,7.8333,94,94,0.096,0.1047,10.402,1.9987,0.8668,3.2491,2.2172,0.4431,0.3746,0.4338,7.3333,132,132,0.1447,0.1532,14.5268,3.1016,0.807,4.0088,2.1099,0.5727,0.2769,0.323,7,84,84,0.0994,0.1085,10.7987,2.0735,0.8999,2.8317,1.7952,0.4212,0.2808,0.3299,6.7222,121,121,0.1793,0.1899,13.5598,3.4314,0.7533
WREF,3.336,1.6606,0.7825,0.198,0.2587,4.2632,81,81,0.1055,0.1114,15.2434,2.6081,0.8023,3.9689,2.3964,0.6401,0.3518,0.4195,6.2,124,124,0.1458,0.1535,16.9944,3.478,0.8497,2.8995,1.3572,0.7759,0.1232,0.1682,3.7368,71,71,0.0512,0.054,16.0941,1.8238,0.8471,3.2766,1.6171,0.5799,0.1883,0.2288,5.65,113,113,0.2209,0.2326,15.1489,4.3468,0.7574
YELL,2.4127,1.3394,0.8936,0.1407,0.2234,2.7,27,27,0.1855,0.2061,8.5884,2.593,0.8588,2.8293,1.5974,0.5825,0.2112,0.2659,4.8571,102,102,0.334,0.3507,14.6631,5.8979,0.6982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8378,1.339,0.6144,0.1194,0.1525,4.619,97,97,0.4511,0.4736,15.2808,7.8931,0.7277
WOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2778,1.9298,0.696,0.4082,0.5878,3.2727,36,36,0.3006,0.3306,10.4214,4.1323,0.9474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2778,1.9298,0.696,0.4082,0.5878,3.2727,36,36,0.3006,0.3306,10.4214,4.1323,0.9474
