"siteID","TD_Richness_Layered","TD_Shannon_Eff_Layered","TD_Simpson_Eff_Layered","TD_Beta_Bray_Layered","TD_Beta_Dispersion_Layered","PD_Faith_Layered","PD_Beta_Sorensen_Layered","PD_Beta_Dispersion_Layered","FD_FDis_m1_Layered","FD_RaoQ_m1_Layered","FD_Beta_Dispersion_m1_Layered","FD_Beta_Turnover_m1_Layered","FD_FDis_m2_Layered","FD_RaoQ_m2_Layered","FD_Beta_Dispersion_m2_Layered","FD_Beta_Turnover_m2_Layered","TD_Richness_TopDown","TD_Shannon_Eff_TopDown","TD_Simpson_Eff_TopDown","TD_Beta_Bray_TopDown","TD_Beta_Dispersion_TopDown","PD_Faith_TopDown","PD_Beta_Sorensen_TopDown","PD_Beta_Dispersion_TopDown","FD_FDis_m1_TopDown","FD_RaoQ_m1_TopDown","FD_Beta_Dispersion_m1_TopDown","FD_Beta_Turnover_m1_TopDown","FD_FDis_m2_TopDown","FD_RaoQ_m2_TopDown","FD_Beta_Dispersion_m2_TopDown","FD_Beta_Turnover_m2_TopDown","year","tile_num","sum_squares","Beta_dispersion","Beta_avg_pairwise","gamma_sum_squares","gamma_dispersion","beta_agg_sum_squares","beta_agg_dispersion","Beta_agg_avg_pairwise","plot_sum_squares","plot_beta_dispersion","plot_avg_pairwise","n_plots","total_visible_stems","total_site_canopy_area","mean_canopy_height_site","max_canopy_height_site","canopy_height_sd_site","mean_base_crown_height_site","mean_elevation","avg_visible_canopy_per_plot","pct_visible_tree_cover","visible_stems_per_ha","site_year"
"SOAP",44,9.4989,1.1839,0.7772,0.5375,958.5062,0.5703,0.4647,0.773,1.0998,0.753,1.0593,1.3593,2.7638,1.2845,1.8412,40,8.331,1.224,0.7556,0.5231,801.0074,0.5932,0.485,0.6285,0.8622,0.8308,1.1192,1.1565,2.2132,1.363,1.9139,2024,"1",38.8897977391944,0.0183702398390149,0.150204627004093,38.8897977391944,0.0183702398390149,0.191400287394459,0.00736154951517149,0.102419577404864,19.5293298729464,0.57439205508666,0.178604880523445,18,151,3310.90076,6.718,57.9,7.4068,0.31235,1201.10265,183.93893,45.98473,209.72222,"SOAP_2024"
"SRER",56,7.181,1.4598,0.6979,0.4807,670.8199,0.5309,0.4329,0.572,0.8669,0.5733,0.7851,1.1182,2.5519,1.1489,1.5786,53,8.2622,1.3581,0.6962,0.4788,654.8501,0.5336,0.4407,0.5766,0.8358,0.5705,0.7822,1.1356,2.481,1.1366,1.5589,2024,"2",203.727352367525,0.00289327906904203,0.0631742917122563,203.727352367525,0.00289327906904203,1.95401056086684,0.00258125569467218,0.0591647574089322,4.68189317857243,0.146309161830389,0.0654902945140648,20,201,1367.20352,1.81371,7.4,0.74676,0.56947,1083.6597,68.36018,17.09004,251.25,"SRER_2024"
"TALL",82,18.8766,1.0817,0.7911,0.5542,1555.0788,0.6029,0.3045,1.4908,3.2526,1.3682,1.8766,2.0688,5.9192,1.8941,2.5818,67,11.8722,1.1462,0.8108,0.5703,1232.4677,0.5624,0.3289,1.234,2.4941,1.4239,2.0449,1.699,4.5707,1.9682,2.8122,2024,"1",71.726908891281,0.00406361729597649,0.0656145097165391,71.726908891281,0.00406361729597649,0.190429794743007,0.000898253748787771,0.0335106916127357,5.17832445090583,0.156918922754722,0.0825179804988618,21,224,6540.70148,7.49678,85.6,7.55649,1.11081,111.38304,311.46198,77.86549,266.66667,"TALL_2024"
"TEAK",32,10.1156,1.1724,0.8175,0.5695,720.2809,0.632,0.4448,0.6249,0.8716,0.6668,0.9713,0.9334,1.9386,1.0698,1.5344,27,9.8514,1.1842,0.8619,0.6007,496.2951,0.4839,0.5327,0.5614,0.8085,0.6041,0.865,0.8668,1.9743,0.985,1.4103,2024,"1",430.187330134932,0.0237606920814655,0.181452479502977,430.187330134932,0.0237606920814655,2.46015022066243,0.0112850927553322,0.124203522775429,10.5126610791625,0.318565487247347,0.13958809406607,20,167,2099.33174,6.93518,49.3,8.65816,0.36284,2252.03772,104.96659,26.24165,208.75,"TEAK_2024"
"TREE",55,14.5326,1.1138,0.8564,0.6014,1057.6563,0.5588,0.4289,1.0435,1.6979,0.9987,1.4818,1.5075,3.3944,1.4114,2.0475,47,12.1249,1.1456,0.8922,0.6258,879.677,0.5026,0.4664,0.7746,1.1374,0.9239,1.3774,1.1914,2.4754,1.3626,2.0267,2024,"1",3.56043531432358,0.00156847370675047,0.0424560946894859,3.56043531432358,0.00156847370675047,0.0169780513619196,0.000435334650305631,0.0258846168576705,7.05948091521254,0.220608778600392,0.0908124570228397,24,286,4744.26875,6.66024,29.1,5.52823,0.58541,456.11608,197.67786,49.41947,297.91667,"TREE_2024"
"UKFS",60,16.3163,1.1049,0.8145,0.5631,1077.1231,0.5074,0.4148,0.9508,1.5513,0.4658,0.7147,1.7464,4.0911,0.8634,1.2847,55,16.1382,1.1075,0.8745,0.6049,791.867,0.4886,0.4348,0.8081,1.3162,0.6346,0.99,1.449,3.2707,1.0954,1.6456,2024,"1",18.8142834806747,0.0081517692723894,0.105283801328331,18.8142834806747,0.0081517692723894,0.133840792240073,0.00405578158303253,0.0753697039432026,3.2250637654226,0.100783242669456,0.0743346541086004,20,182,4682.12964,4.53788,31.6,4.11536,0.4541,311.13791,234.10648,58.52662,227.5,"UKFS_2024"
"UNDE",54,11.8707,1.1429,0.8749,0.6056,1244.3355,0.4538,0.475,1.1773,1.9237,0.693,1.0035,1.6334,3.2823,1.095,1.593,39,8.2881,1.2141,0.9157,0.6373,1003.1926,0.4455,0.5043,0.9627,1.5862,0.8725,1.2841,1.297,2.5826,1.4504,2.1032,2024,"1",461.943979631377,0.0381141897385625,0.228365135410279,461.943979631377,0.0381141897385625,4.44479153241534,0.0290509250484663,0.203058167886481,21.2760253525193,0.625765451544686,0.243082961978033,20,236,3257.77369,6.97025,33,5.63965,0.53061,511.04322,162.88868,40.72217,295,"UNDE_2024"
"WOOD",28,9.7816,1.2026,0.9355,0.6354,399.7753,0.2764,0.5845,NA,NA,NA,NA,NA,NA,NA,NA,28,9.7816,1.2026,0.9355,0.6354,399.7753,0.2764,0.5845,NA,NA,NA,NA,NA,NA,NA,NA,2024,"2",63.7129848500612,0.0141364510428359,0.120430004659662,63.7129848500612,0.0141364510428359,0.248762942911192,0.00444219540912843,0.0768743225591094,17.6402553973912,0.551257981168476,0.15741297074952,12,0,NA,0,0,0,0,0,0,0,0,"WOOD_2024"
"WREF",48,8.1255,1.2633,0.621,0.4311,912.0076,0.6016,0.3586,0.5151,0.5194,0.3936,0.5662,0.8143,1.239,0.5802,0.8388,46,6.0978,1.3783,0.6792,0.4795,801.1898,0.561,0.3814,0.3213,0.2897,0.3401,0.5054,0.4982,0.6477,0.523,0.7642,2024,"2",38.8118142656224,0.00226784002954437,0.0541682961742611,38.8118142656224,0.00226784002954437,0.243699204634603,0.00109282154544665,0.0392594430864415,2.51202695332551,0.0785008422914223,0.12247710212726,20,271,4580.71724,9.33049,66,10.38379,0.52943,594.06125,229.03586,57.25897,338.75,"WREF_2024"
"YELL",74,9.2946,1.3228,0.869,0.6111,656.3803,0.5535,0.4029,NA,NA,NA,NA,NA,NA,NA,NA,71,10.5786,1.2705,0.8794,0.6193,636.3905,0.5559,0.4083,NA,NA,NA,NA,NA,NA,NA,NA,2024,"1",665.66276269788,0.0229554715048583,0.160952844410706,665.66276269788,0.0229554715048583,5.59436811813845,0.0154114824191142,0.12971467618516,28.9386648851779,0.876929238944783,0.253384995343834,21,435,1594.29612,2.13901,26.3,1.8391,0.12118,2036.04828,75.91886,18.97972,517.85714,"YELL_2024"
