"siteID","file_id","variant","n_comm","M_beta","Ht_beta","qDT_beta","qDTM_beta"
"SOAP","SOAP_1","BrightnessNorm",1669,0.1854,2136950.9515,1462.3315,272.0521
"SOAP","SOAP_1","VectorNorm",1669,0.1854,2136950.9515,1462.3315,272.0521
"SOAP","SOAP_1","BrightVectorNorm",1669,0.1854,2136950.9515,1462.3315,272.0521
"SOAP","SOAP_2","Raw",1669,0.2411,2195369.2721,1482.1779,358.3833
"SOAP","SOAP_2","BrightnessNorm",1669,0.2278,2224693.8804,1492.0409,340.945
"SOAP","SOAP_2","VectorNorm",1669,0.2278,2224693.8804,1492.0409,340.945
"SOAP","SOAP_2","BrightVectorNorm",1669,0.2278,2224693.8804,1492.0409,340.945
"STER","STER","Raw",918,0.3262,693351.3121,833.1773,272.8156
"STER","STER","BrightnessNorm",918,0.3008,660356.4472,813.1233,245.5561
"STER","STER","VectorNorm",918,0.3008,660356.4472,813.1233,245.5561
"STER","STER","BrightVectorNorm",918,0.3008,660356.4472,813.1233,245.5561
"TALL","TALL_1","Raw",16286,0.1137,209086925.0025,14460.3384,1645.6736
"TALL","TALL_1","BrightnessNorm",16286,0.089,194482365.1747,13946.1934,1242.6956
"TALL","TALL_1","VectorNorm",16286,0.089,194482365.1747,13946.1934,1242.6956
"TALL","TALL_1","BrightVectorNorm",16286,0.089,194482365.1747,13946.1934,1242.6956
"TALL","TALL_2","Raw",16286,0.1063,206682737.0184,14376.9647,1528.6289
"TALL","TALL_2","BrightnessNorm",16286,0.0701,184976954.0891,13601.1233,954.2504
"TALL","TALL_2","VectorNorm",16286,0.0701,184976954.0891,13601.1233,954.2504
"TALL","TALL_2","BrightVectorNorm",16286,0.0701,184976954.0891,13601.1233,954.2504
"TEAK","TEAK_1","Raw",16934,0.1628,222575992.871,14919.481,2429.3747
"TEAK","TEAK_1","BrightnessNorm",16934,0.2428,229944739.0017,15164.4289,3682.6951
"TEAK","TEAK_1","VectorNorm",16934,0.2428,229944739.0017,15164.4289,3682.6951
"TEAK","TEAK_1","BrightVectorNorm",16934,0.2428,229944739.0017,15164.4289,3682.6951
"TEAK","TEAK_2","Raw",16934,0.141,207969299.3645,14421.6407,2034.0672
"TEAK","TEAK_2","BrightnessNorm",16934,0.236,229176260.601,15139.0687,3574.0953
"TEAK","TEAK_2","VectorNorm",16934,0.236,229176260.601,15139.0687,3574.0953
"TEAK","TEAK_2","BrightVectorNorm",16934,0.236,229176260.601,15139.0687,3574.0953
"TREE","TREE_1","Raw",1580,0.1562,1991770.5434,1411.8011,221.5825
"TREE","TREE_1","BrightnessNorm",1580,0.1204,1901881.3451,1379.5872,167.115
"TREE","TREE_1","VectorNorm",1580,0.1204,1901881.3451,1379.5872,167.115
"TREE","TREE_1","BrightVectorNorm",1580,0.1204,1901881.3451,1379.5872,167.115
"TREE","TREE_2","Raw",1580,0.1649,1989289.3461,1410.9218,233.6493
"TREE","TREE_2","BrightnessNorm",1580,0.1264,1928757.6671,1389.2973,176.608
"TREE","TREE_2","VectorNorm",1580,0.1264,1928757.6671,1389.2973,176.608
"TREE","TREE_2","BrightVectorNorm",1580,0.1264,1928757.6671,1389.2973,176.608
"UKFS","UKFS_1","Raw",1780,0.1513,2585512.7509,1608.453,244.3376
"UKFS","UKFS_1","BrightnessNorm",1780,0.2226,2512230.3152,1585.5018,353.9661
"UKFS","UKFS_1","VectorNorm",1780,0.2226,2512230.3152,1585.5018,353.9661
"UKFS","UKFS_1","BrightVectorNorm",1780,0.2226,2512230.3152,1585.5018,353.9661
"UKFS","UKFS_2","Raw",1780,0.1652,2634956.177,1623.7549,269.2559
"UKFS","UKFS_2","BrightnessNorm",1780,0.2043,2553700.4601,1598.5303,327.6049
"UKFS","UKFS_2","VectorNorm",1780,0.2043,2553700.4601,1598.5303,327.6049
"UKFS","UKFS_2","BrightVectorNorm",1780,0.2043,2553700.4601,1598.5303,327.6049
"UNDE","UNDE","Raw",10673,0.1868,86368220.7726,9293.9504,1737.0515
"UNDE","UNDE","BrightnessNorm",10673,0.3132,88533662.1598,9409.7328,2947.8132
"UNDE","UNDE","VectorNorm",10673,0.3132,88533662.1598,9409.7328,2947.8132
"UNDE","UNDE","BrightVectorNorm",10673,0.3132,88533662.1598,9409.7328,2947.8132
"WOOD","WOOD_1","Raw",3751,0.2245,10573946.007,3252.2605,731.1854
"WOOD","WOOD_1","BrightnessNorm",3751,0.2481,11520489.7018,3394.6847,843.2853
"WOOD","WOOD_1","VectorNorm",3751,0.2481,11520489.7018,3394.6847,843.2853
"WOOD","WOOD_1","BrightVectorNorm",3751,0.2481,11520489.7018,3394.6847,843.2853
"WOOD","WOOD_2","Raw",3751,0.2093,10156286.356,3187.3929,668.0251
"WOOD","WOOD_2","BrightnessNorm",3751,0.1693,9788683.4446,3129.1872,530.8031
"WOOD","WOOD_2","VectorNorm",3751,0.1693,9788683.4446,3129.1872,530.8031
"WOOD","WOOD_2","BrightVectorNorm",3751,0.1693,9788683.4446,3129.1872,530.8031
"WREF","WREF_1","Raw",15151,0.15,188005818.3034,13712.0214,2057.2716
"WREF","WREF_1","BrightnessNorm",15151,0.0995,177673994.2565,13329.9409,1327.866
"WREF","WREF_1","VectorNorm",15151,0.0995,177673994.2565,13329.9409,1327.866
"WREF","WREF_1","BrightVectorNorm",15151,0.0995,177673994.2565,13329.9409,1327.866
"WREF","WREF_2","Raw",15151,0.1631,177301539.7546,13315.9624,2173.3822
"WREF","WREF_2","BrightnessNorm",15151,0.1071,188309266.6011,13723.0824,1470.9582
"WREF","WREF_2","VectorNorm",15151,0.1071,188309266.6011,13723.0824,1470.9582
"WREF","WREF_2","BrightVectorNorm",15151,0.1071,188309266.6011,13723.0824,1470.9582
"YELL","YELL","Raw",26392,0.2241,553406649.5122,23525.0967,5273.4341
"YELL","YELL","BrightnessNorm",26392,0.1638,497640117.1423,22308.3488,3655.3478
"YELL","YELL","VectorNorm",26392,0.1638,497640117.1423,22308.3488,3655.3478
"YELL","YELL","BrightVectorNorm",26392,0.1638,497640117.1423,22308.3488,3655.3478
