"siteID","file_id","variant","sample_n","q","M","M_prime","qHt","qEt","qDT","qDTM"
"DELA","DELA","Raw",1092,0,0.1249,0.125,1190686,0.9997,1091.6857,137.3727
"DELA","DELA","Raw",1092,1,0.1249,0.125,702483.8756,0.768,838.6433,105.7628
"DELA","DELA","Raw",1092,2,0.1249,0.125,507229.398,0.6527,712.7006,90.0301
"DELA","DELA","BrightnessNorm",1092,0,0.1517,0.1518,1190686,0.9997,1091.6857,166.5948
"DELA","DELA","BrightnessNorm",1092,1,0.1517,0.1518,586957.7084,0.702,766.6318,117.2883
"DELA","DELA","BrightnessNorm",1092,2,0.1517,0.1518,402776.1172,0.5816,635.1466,97.3436
"DELA","DELA","VectorNorm",1092,0,0.1517,0.1518,1190686,0.9997,1091.6857,166.5948
"DELA","DELA","VectorNorm",1092,1,0.1517,0.1518,586957.7084,0.702,766.6318,117.2883
"DELA","DELA","VectorNorm",1092,2,0.1517,0.1518,402776.1172,0.5816,635.1466,97.3436
"DELA","DELA","BrightVectorNorm",1092,0,0.1517,0.1518,1190686,0.9997,1091.6857,166.5948
"DELA","DELA","BrightVectorNorm",1092,1,0.1517,0.1518,586957.7084,0.702,766.6318,117.2883
"DELA","DELA","BrightVectorNorm",1092,2,0.1517,0.1518,402776.1172,0.5816,635.1466,97.3436
"DSNY","DSNY_1","Raw",14327,0,0.1069,0.1069,205240288,1,14326.7098,1532.4312
"DSNY","DSNY_1","Raw",14327,1,0.1069,0.1069,147649516.2938,0.8482,12151.6117,1299.9275
"DSNY","DSNY_1","Raw",14327,2,0.1069,0.1069,108679132.9846,0.7277,10425.4285,1115.4098
"DSNY","DSNY_1","BrightnessNorm",14327,0,0.1934,0.1934,205240288,1,14326.7098,2771.1617
"DSNY","DSNY_1","BrightnessNorm",14327,1,0.1934,0.1934,161494863.1459,0.887,12708.5629,2458.2825
"DSNY","DSNY_1","BrightnessNorm",14327,2,0.1934,0.1934,133731791.8885,0.8072,11564.7463,2237.1182
"DSNY","DSNY_1","VectorNorm",14327,0,0.1934,0.1934,205240288,1,14326.7098,2771.1617
"DSNY","DSNY_1","VectorNorm",14327,1,0.1934,0.1934,161494863.1459,0.887,12708.5629,2458.2825
"DSNY","DSNY_1","VectorNorm",14327,2,0.1934,0.1934,133731791.8885,0.8072,11564.7463,2237.1182
"DSNY","DSNY_1","BrightVectorNorm",14327,0,0.1934,0.1934,205240288,1,14326.7098,2771.1617
"DSNY","DSNY_1","BrightVectorNorm",14327,1,0.1934,0.1934,161494863.1459,0.887,12708.5629,2458.2825
"DSNY","DSNY_1","BrightVectorNorm",14327,2,0.1934,0.1934,133731791.8885,0.8072,11564.7463,2237.1182
"DSNY","DSNY_2","Raw",14327,0,0.1087,0.1087,205240088,1,14326.7029,1558.4792
"DSNY","DSNY_2","Raw",14327,1,0.1087,0.1087,137535511.475,0.8186,11728.0535,1275.9758
"DSNY","DSNY_2","Raw",14327,2,0.1087,0.1087,96535777.7509,0.6858,9825.7622,1069.1746
"DSNY","DSNY_2","BrightnessNorm",14327,0,0.2323,0.2323,205240088,1,14326.7029,3328.6598
"DSNY","DSNY_2","BrightnessNorm",14327,1,0.2323,0.2323,155441953.6277,0.8703,12468.1363,2896.971
"DSNY","DSNY_2","BrightnessNorm",14327,2,0.2323,0.2323,126397736.4613,0.7848,11243.1748,2612.4495
"DSNY","DSNY_2","VectorNorm",14327,0,0.2323,0.2323,205240088,1,14326.7029,3328.6598
"DSNY","DSNY_2","VectorNorm",14327,1,0.2323,0.2323,155441953.6277,0.8703,12468.1363,2896.971
"DSNY","DSNY_2","VectorNorm",14327,2,0.2323,0.2323,126397736.4613,0.7848,11243.1748,2612.4495
"DSNY","DSNY_2","BrightVectorNorm",14327,0,0.2323,0.2323,205240088,1,14326.7029,3328.6598
"DSNY","DSNY_2","BrightVectorNorm",14327,1,0.2323,0.2323,155441953.6277,0.8703,12468.1363,2896.971
"DSNY","DSNY_2","BrightVectorNorm",14327,2,0.2323,0.2323,126397736.4613,0.7848,11243.1748,2612.4495
"GRSM","GRSM_1","Raw",8132,0,0.178,0.178,66116298,1,8131.6929,1448.3763
"GRSM","GRSM_1","Raw",8132,1,0.178,0.178,52636642.3048,0.8922,7255.6115,1292.4408
"GRSM","GRSM_1","Raw",8132,2,0.178,0.178,43712745.0502,0.8131,6612.0615,1177.8941
"GRSM","GRSM_1","BrightnessNorm",8132,0,0.1788,0.1788,66116298,1,8131.6929,1454.7451
"GRSM","GRSM_1","BrightnessNorm",8132,1,0.1788,0.1788,52528695.4436,0.8913,7248.1683,1296.7928
"GRSM","GRSM_1","BrightnessNorm",8132,2,0.1788,0.1788,44061226.8584,0.8163,6638.3631,1187.7748
"GRSM","GRSM_1","VectorNorm",8132,0,0.1788,0.1788,66116298,1,8131.6929,1454.7451
"GRSM","GRSM_1","VectorNorm",8132,1,0.1788,0.1788,52528695.4436,0.8913,7248.1683,1296.7928
"GRSM","GRSM_1","VectorNorm",8132,2,0.1788,0.1788,44061226.8584,0.8163,6638.3631,1187.7748
"GRSM","GRSM_1","BrightVectorNorm",8132,0,0.1788,0.1788,66116298,1,8131.6929,1454.7451
"GRSM","GRSM_1","BrightVectorNorm",8132,1,0.1788,0.1788,52528695.4436,0.8913,7248.1683,1296.7928
"GRSM","GRSM_1","BrightVectorNorm",8132,2,0.1788,0.1788,44061226.8584,0.8163,6638.3631,1187.7748
"GRSM","GRSM_2","Raw",8132,0,0.1116,0.1117,66115998,1,8131.6745,908.842
"GRSM","GRSM_2","Raw",8132,1,0.1116,0.1117,38437601.6794,0.7625,6200.3066,693.2189
"GRSM","GRSM_2","Raw",8132,2,0.1116,0.1117,26979897.7654,0.6388,5194.7177,580.9523
"GRSM","GRSM_2","BrightnessNorm",8132,0,0.1614,0.1615,66115998,1,8131.6745,1313.758
"GRSM","GRSM_2","BrightnessNorm",8132,1,0.1614,0.1615,34159244.9109,0.7188,5845.0911,944.6175
"GRSM","GRSM_2","BrightnessNorm",8132,2,0.1614,0.1615,23616420.0096,0.5977,4860.1729,785.6147
"GRSM","GRSM_2","VectorNorm",8132,0,0.1614,0.1615,66115998,1,8131.6745,1313.758
"GRSM","GRSM_2","VectorNorm",8132,1,0.1614,0.1615,34159244.9109,0.7188,5845.0911,944.6175
"GRSM","GRSM_2","VectorNorm",8132,2,0.1614,0.1615,23616420.0096,0.5977,4860.1729,785.6147
"GRSM","GRSM_2","BrightVectorNorm",8132,0,0.1614,0.1615,66115998,1,8131.6745,1313.758
"GRSM","GRSM_2","BrightVectorNorm",8132,1,0.1614,0.1615,34159244.9109,0.7188,5845.0911,944.6175
"GRSM","GRSM_2","BrightVectorNorm",8132,2,0.1614,0.1615,23616420.0096,0.5977,4860.1729,785.6147
"GUAN","GUAN_1","Raw",7594,0,0.1348,0.1348,57657536,1,7593.756,1024.4158
"GUAN","GUAN_1","Raw",7594,1,0.1348,0.1348,46986788.1957,0.9027,6855.191,924.8789
"GUAN","GUAN_1","Raw",7594,2,0.1348,0.1348,39797963.4557,0.8308,6309.0627,851.2768
"GUAN","GUAN_1","BrightnessNorm",7594,0,0.1489,0.1489,57657536,1,7593.756,1131.5511
"GUAN","GUAN_1","BrightnessNorm",7594,1,0.1489,0.1489,44960681.1858,0.883,6705.7727,999.349
