siteID,FHD_M_prime_norm,FHD_qEt_norm,FHD_qDT_norm,FHD_qDTM_norm,cover_M_prime_norm,cover_qEt_norm,cover_qDT_norm,cover_qDTM_norm,PAI_M_prime_norm,PAI_qEt_norm,PAI_qDT_norm,PAI_qDTM_norm,FHD_cover_PAI_M_prime_norm,FHD_cover_PAI_qEt_norm,FHD_cover_PAI_qDT_norm,FHD_cover_PAI_qDTM_norm
KONA,0.5151745059903138,0.2910092221185813,0.16367802360820286,0.1461863857285021,0.2584437614352947,0.34983911147629454,0.13303562653001735,0.03580481102296045,0.10112984098598744,0.45819870161469595,0.1309349964232081,0.01600131139183894,0.3189933964585725,0.39408504912453163,0.15138303594712596,0.07017468079808865
KONZ,0.6165059966697577,0.35421920894532744,0.06173073070061125,0.061849069327444925,0.19441974492285635,0.3331668706270419,0.048971153828092674,0.010191263651237334,0.07278345421136596,0.46162475673913395,0.04863867005432622,0.0044026050512750315,0.32916555959627763,0.43640955798110775,0.0569012447085063,0.026903495101000905
MLBS,0.19552227120805496,0,0.08902682083912014,0.04902933404818005,0.7310297512886431,0.8010489618949292,0.0935904081860254,0.0695807050210376,0.5188063792134922,0.7817377529045504,0.09191281593582562,0.05622022957268677,0.5814783895483778,0.6111700474221659,0.09256258045215303,0.0661832396050834
MOAB,0.33825286780277497,0.12080546065601845,0.29180301414204246,0.20609578263174425,0.2724743146847173,0,0.2067754441390258,0.058384237112646925,0.14069979681799696,0,0.17205916792340473,0.028923741903683988,0.2685794795922109,0,0.25433443370515657,0.10578032198848844
NIWO,0.5671854126928317,0.3628173133781833,0.10194259126483322,0.09668485445140307,0.6015114373429494,0.6831791024262616,0.09421195617653103,0.057827586123851124,0.3071675382830733,0.5721519923781524,0.08608278132371444,0.03138030833827942,0.5486606608706011,0.532901431390398,0.09589893151984681,0.0655484154499077
OAES,0.15336932099064113,0.06390996313243126,0.07974041666939198,0.04023641252237181,0.13577533146615725,0.060016173661904364,0.05886700784644819,0.008717688522944866,0.05167508227928975,0.23847003000365935,0.05746986472999283,0.0037508136432893176,0.11243568736912934,0.14704248271933576,0.07309273313623443,0.019313290174750176
ONAQ,0.1109888353669198,0.4812758432091073,0.007626550320207177,0.002782289249710216,0,0.6274271735346647,0.00670482828547867,0,0,0.7323199268150009,0.006873167061627988,0,0.04054600892776514,0.5450288507920525,0.0070442858147684185,9.568686028295812e-4
ORNL,0.740989824059517,0.1699115968316675,0.4307135657566912,0.4874275672229757,0.8835562564736998,0.7501725571034767,0.42585657582118147,0.3775294019007366,0.605445612821547,0.674445575809067,0.4027428056577862,0.2837784115919767,0.8591431946957849,0.6101511996015679,0.42964659048130693,0.41911662085578333
OSBS,0.6254867211061089,9.050271288920832e-4,0.0604081980680255,0.061170053742307134,0.937946415479535,0.7852298497535842,0.06322460885342243,0.06052906961343541,0.563448144632604,0.8230587970269048,0.06384539403404754,0.04266942920477587,0.8250288367165594,0.5901430846667334,0.062593545470568,0.05959525600564504
RMNP,0.16631457327968396,0.3120545739335773,0.04618881919945022,0.02365069155561573,0.7419856604851834,0.750468329812102,0.04443362691165324,0.03404707994088241,0.49540871918181695,0.676275817984121,0.04190914830294132,0.024960872416198154,0.5784775586291238,0.5779704087746934,0.04446191834885075,0.03182298303033982
SERC,1,0.3466126208490132,0.13701761415468863,0.19304997580451672,0.7610833004308567,0.6019341881949397,0.12288517891942885,0.09478872969703875,0.44428853041601174,0.5451246797686256,0.1142820667039005,0.059795810899910415,0.8390158538355845,0.5475255420300706,0.12975074764775768,0.12457406265195202
SOAP,0.7167840580806639,1,1.210909928589236e-4,3.19739820210165e-4,0.53943960370042,1,1.8329243600705044e-4,7.600794901061567e-4,0.21992172586424125,1,1.7396266109719028e-4,3.7524361435487875e-4,0.5182047223662507,1,1.3292788496908236e-4,2.618052738328327e-4
SRER,0.1747271791174226,0.20285533649798348,0.619504512836445,0.33115114234318027,0.1352610944068005,0.4205744497546143,0.5304446424435673,0.07710911077842234,0.05211095952120503,0.4105513037114491,0.49071489554938436,0.03172684884728362,0.11932967049385129,0.3852093936295654,0.5827549538397991,0.16014007480850057
TEAK,0.689311130172205,0.2875971651027724,0.2290670699045008,0.2468487905275742,0.6889243538622055,0.7183451905136191,0.21806730048229342,0.15173611369599518,0.401005772318839,0.6180951505280566,0.2021562016537577,0.0949955310182718,0.6834562931786972,0.6279183925268609,0.22363791236436958,0.18114547799775496
UKFS,0.582786053173979,0.7482433768927937,0,0,0.37930903170564656,0.7789399629480768,0,4.644438833911404e-4,0.1392460010863897,0.84557135591435,0,2.0729641480275653e-4,0.3724828896742521,0.7231364139525525,0,0
UNDE,0.5845306048281578,0.2574059814704202,0.15729937942187144,0.1520844586319772,0.7784849176212839,0.7793044762190444,0.1544299919224136,0.12149208793186646,0.5040548831923625,0.7421411441471548,0.14978484224088662,0.08850766783440477,0.7170696753588157,0.6736546630915885,0.15622562773304752,0.1316761632350335
WOOD,0,0.18243835789629045,0.05065871580162096,0.016858398204514343,0.04115340594697717,0.6385896334964509,0.04791277528465626,0.002485281745086121,0.014014738827920103,0.7323550293343358,0.048878592738090684,0.001001957975284032,0,0.41654142093304297,0.048321969317813504,0.007349301473454548
WREF,0.21441962949983362,0.08426347453052499,0.275875917334737,0.1586965355462759,0.599733642368005,0.6333568258097584,0.2655368396234106,0.161075114310569,0.8115123017580727,0.8589582335450419,0.2900942574926659,0.2738717771146276,0.6047989075754424,0.5439550156527156,0.2764834885482594,0.20321036588678207
YELL,0.6164403030459588,0.39189473313022594,1,1,0.620534333785412,0.5415509903707996,0.866137474003694,0.5414107274934084,0.33671302599537994,0.4472578600086101,0.7787984092041734,0.3062060967678338,0.5983658029600258,0.47579657944100195,0.9221777766805108,0.671372934386844
